bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
2005841,3172728,text,50158,text/html,Introduced,https://legiscan.com/TX/text/HB4821/id/3172728,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04821I.htm
2005689,3172593,text,22527,text/html,Introduced,https://legiscan.com/TX/text/HB4822/id/3172593,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04822I.htm
2005823,3176555,text,33532,text/html,Introduced,https://legiscan.com/TX/text/HB4823/id/3176555,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04823I.htm
2005630,3172543,text,9555,text/html,Introduced,https://legiscan.com/TX/text/HB4824/id/3172543,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04824I.htm
2005947,3176492,text,11654,text/html,Introduced,https://legiscan.com/TX/text/HB4825/id/3176492,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04825I.htm
2005967,3176457,text,6622,text/html,Introduced,https://legiscan.com/TX/text/HB4826/id/3176457,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04826I.htm
2005735,3172635,text,6122,text/html,Introduced,https://legiscan.com/TX/text/HB4827/id/3172635,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04827I.htm
2005740,3172639,text,14904,text/html,Introduced,https://legiscan.com/TX/text/HB4828/id/3172639,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04828I.htm
2005795,3172688,text,7099,text/html,Introduced,https://legiscan.com/TX/text/HB4829/id/3172688,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04829I.htm
2005641,3172552,text,99316,text/html,Introduced,https://legiscan.com/TX/text/HB4830/id/3172552,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04830I.htm
2005965,3172830,text,21689,text/html,Introduced,https://legiscan.com/TX/text/HB4831/id/3172830,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04831I.htm
2005905,3176560,text,26136,text/html,Introduced,https://legiscan.com/TX/text/HB4832/id/3176560,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04832I.htm
2005629,3172542,text,46699,text/html,Introduced,https://legiscan.com/TX/text/HB4833/id/3172542,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04833I.htm
2005672,3176028,text,8866,text/html,Introduced,https://legiscan.com/TX/text/HB4834/id/3176028,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04834I.htm
2005843,3172730,text,20736,text/html,Introduced,https://legiscan.com/TX/text/HB4835/id/3172730,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04835I.htm
2005911,3176531,text,5634,text/html,Introduced,https://legiscan.com/TX/text/HB4836/id/3176531,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04836I.htm
2005640,3172551,text,11717,text/html,Introduced,https://legiscan.com/TX/text/HB4837/id/3172551,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04837I.htm
2005762,3172657,text,8734,text/html,Introduced,https://legiscan.com/TX/text/HB4838/id/3172657,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04838I.htm
2005863,3172746,text,69434,text/html,Introduced,https://legiscan.com/TX/text/HB4839/id/3172746,https://capitol.texas.gov/tlodocs/89R/billtext/html/HB04839I.htm
